Speaker ID,Male Count,Female Count
M1,16,1
M10,13,2
M11,12,1
M12,10,0
M13,15,2
M14,19,4
M15,17,2
M16,11,1
M17,8,0
M18,16,2
M19,14,12
M2,17,5
M20,11,0
M21,12,2
M22,16,0
M23,16,1
M24,13,0
M25,14,2
M26,10,4
M27,8,0
M28,8,0
M29,10,3
M3,10,1
M30,15,0
M31,14,2
M32,17,0
M33,15,2
M4,16,0
M5,6,0
M6,10,2
M7,16,1
M8,11,4
M9,10,0
W34,1,15
W35,1,13
W36,6,6
W37,2,10
W38,1,11
W39,4,8
W40,1,10
W41,3,14
W42,2,10
W43,2,19
W44,2,11
W45,2,9
W46,4,19
W47,2,14
W48,2,8
W49,28,0
W50,21,3
W51,2,9
W52,3,5
W53,2,18
W54,7,3
W55,1,15
W56,12,13
W57,2,15
W58,14,18
W59,2,12
W60,2,13
W61,7,3
